,x
1,NA
2,aaj jnu ke social science and other intellectual depaments me jashan all antinationals and communists are invited with invitation
3,why the law on sedition should be repealed jnu jnusu opinion hastakshep breaking
4,NA
5,NA
6, zeenews sedition row falloutjnu sees decline in applications for admission
7,NA
8,NA
9,NA
10,NA
11,NA
12," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
13,NA
14,"indvswi wi

mewhats going onidoits are you going to bakery for a cake 
jnu studentsf off we already served hundred cakes"
15,NA
16,NA
17," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
18,NA
19,NA
20,NA
21,NA
22,NA
23,NA
24,NA
25,NA
26,NA
27,NA
28,NA
29,"its a verdict against communalism i m going to celebrate in jnu with my protege kanhaiya
indvswi"
30,NA
31,NA
32,NA
33,aaj jnu me jeet ke parche batenge indvswi
34,"celebrations in jnu bangladesh srilanka
indvswi"
35,NA
36, abhijitmajumder a brilliant riposte do read jnu
37,NA
38,NA
39," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
40,NA
41,NA
42,NA
43,NA
44,NA
45,NA
46," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
47,jnu ke pataakhe finally aaj nikalenge aur jalenge bhi indvswi
48," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
49,fck all the feelingsall around for 14billion population half r anti from jnu but i feel for imvkohli i can feel wat u goin tru indvswi
50,NA
51,NA
52,NA
53,NA
54,NA
55," kashmirvalley meanwhile in pak ban  jnukashmir
firecrackers in
kashmir streets 
anti india crackers"
56,jnu students would be celebrating diwali tonight wont they
57,NA
58," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
59,so jnu becomes the new tihar jail eh
60,NA
61,NA
62,NA
63," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
64," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
65,NA
66," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
67,jnu must b ashamed bcz the rapist army is rescuingthe people in kolkata drgpradhan thisisarc kanchangupta pmoindia sudhirchaudhary
68,NA
69," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
70," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
71,NA
72,NA
73," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
74,bharat ki har par sabse jade happykanhaiyasuppoer hogejnu mai aaj diwali hogiabvpjnu poornimamishra nikhildubei jethalive
75," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
76,NA
77,NA
78," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
79,NA
80,NA
81," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
82,NA
83,NA
84,NA
85," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
86," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
87,NA
88," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
89," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
90,NA
91," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
92,NA
93,NA
94," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
95, abhijitmajumder a brilliant riposte do read jnu
96," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
97,NA
98," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
99,NA
100," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
101," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
102,NA
103," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
104," sirjadeja meanwhile in pak ban  jnu

indvswi wivind dilsay indvseng"
105,NA
106, abhijitmajumder a brilliant riposte do read jnu
107,NA
